;;;vest;bo31;bo31hk;bo3_nw;doelgroep;ephh;groei_jong;groei_llvo;kernen500;lidr_w_nw;inwo;inw75+dr;wad1;wad3;wad2;jong;kernen;LOdr;ll_so;ll_vo;loonksub;nwmigr;cf.landelijk;cf.lokaal;cf.regionaal;oeverdhbftot;oeverbftot;oadw;goab;opbebnk;opbebnkbfnk;opbebk;opbebkbfk;biwa;buiwamax;histk40;histk65;histk4164;landbftot;land;WOZnwe70;WOZnwg70;WOZwe80;vast;Amsterdam;Den Haag;Rotterdam;woonr;woonrbfk
CBS;Naam;Prov;bedrijven;bewoonde oorden 1930;historische woningen in bewoonde oorden 1930;bijstandsontvangers;doelgroepenregister gemeentelijke doelgroep;éénpersoonshuishoudens;extra groei jongeren;extra groei leerlingen voortgezet onderwijs;grote woonkernen;huishoudens met een laag inkomen met drempel;inwoners;inwoners 75+ met drempel;inwoners waddengemeenten (<2500 inwoners);inwoners waddengemeenten (>7500 inwoners);inwoners waddengemeenten (2500 tot 7500 inwoners);jongeren;kernen;laag opleidingsniveau met drempel;leerlingen (voortgezet) speciaal onderwijs;leerlingen voortgezet onderwijs;loonkostensubsidie;migratieachtergrond;landelijke centrumfunctie;lokale centrumfunctie;regionale centrumfunctie;(oeverlengte+2*veen/kleiveengebied)*bf.gemeente*dh.factor;oeverlengte*bodemfactor gemeente;omgevingsadressendichtheid;onderwijsachterstand;oppervlak bebouwing buitengebied;oppervlak bebouwing buitengebied ∗ bodemfactor buitengebied;oppervlak bebouwing woonkern;oppervlak bebouwing woonkern ∗ bodemfactor woonkern;oppervlak binnenwater;oppervlak buitenwater;oppervlak historische kern < 40 ha;oppervlak historische kern > 65 ha;oppervlak historische kern 40 tot 65 ha;oppervlak land * bodemfactor gemeente;oppervlak land;ozb niet-woningen eigenaren;ozb niet-woningen gebruikers;ozb woningen eigenaren;vast bedrag;vast bedrag Amsterdam;verkiezingen Den Haag;vast bedrag Rotterdam;woonruimten;woonruimten ∗ bodemfactor woonkern
106;Assen;3;7.351,67;3.666,00;3.666,00;1.914,76;926,67;13.129,74;0,00;0,00;1,00;6.898,65;71.159,39;3.169,81;0,00;0,00;0,00;13.091,61;3,00;4.090,09;2.744,67;3.715,98;244,49;7.290,38;93.366,88;78.203,35;107.145,47;16.497,33;1.956,00;56.054,46;2.869,19;47,17;47,17;375,06;374,53;169,00;0,00;11,00;0,00;0,00;8.177,00;8.177,00;1.009.490.754,04;991.824.665,84;8.740.438.772,55;1,00;0,00;0,00;0,00;34.730,15;34.730,15
1681;Borger-Odoorn;3;3.408,27;2.246,00;0,00;378,52;250,84;3.438,20;0,00;0,00;6,00;2.360,77;26.332,98;1.647,20;0,00;0,00;0,00;4.429,54;37,00;2.688,89;0,00;165,60;71,85;727,27;2.426,16;22.169,07;4.276,11;5.297,16;5.651,00;3.422,15;711,52;113,40;113,40;178,94;178,68;321,00;0,00;0,00;0,00;0,00;27.468,00;27.468,00;457.155.098,62;400.551.509,91;3.417.435.230,21;1,00;0,00;0,00;0,00;12.817,06;12.817,06
109;Coevorden;3;4.556,48;917,00;917,00;685,76;316,56;5.145,99;0,00;0,00;8,00;3.229,78;36.250,93;2.396,24;0,00;0,00;0,00;6.084,78;26,00;4.073,70;115,56;984,00;80,42;1.812,30;13.566,30;33.703,46;20.531,41;5.485,08;4.584,00;9.120,00;1.867,75;186,66;186,66;250,71;250,36;351,00;0,00;9,00;0,00;0,00;29.618,00;29.618,00;601.368.063,48;540.077.553,41;4.512.389.334,14;1,00;0,00;0,00;0,00;17.952,76;17.952,76
1690;De Wolden;3;3.995,36;0,00;0,00;216,15;129,25;2.950,97;0,00;0,00;5,00;1.664,37;24.940,97;1.598,27;0,00;0,00;0,00;4.500,62;23,00;2.071,79;0,00;0,00;35,39;694,93;3.123,69;21.087,41;6.661,84;3.063,97;2.811,00;3.639,42;249,12;160,57;160,57;136,48;136,28;206,00;0,00;0,00;0,00;0,00;22.429,00;22.429,00;367.382.527,99;311.500.004,10;3.849.524.742,07;1,00;0,00;0,00;0,00;11.627,54;11.627,54
114;Emmen;3;11.830,22;4.532,00;0,00;2.971,65;1.648,51;18.190,09;0,00;0,00;11,00;12.981,04;110.873,67;6.208,84;0,00;0,00;0,00;18.991,57;31,00;15.773,82;3.120,45;4.233,58;485,76;7.401,14;95.368,46;114.899,08;125.361,92;42.219,66;13.329,00;44.948,57;6.753,51;235,83;235,83;729,90;728,87;1.000,00;0,00;0,00;0,00;0,00;33.626,00;33.626,00;1.576.968.770,77;1.512.433.469,00;11.928.438.042,95;1,00;0,00;0,00;0,00;51.843,79;51.843,79
118;Hoogeveen;3;6.416,48;1.516,00;0,00;1.133,19;690,07;8.995,63;0,00;0,00;4,00;6.464,65;57.526,37;3.173,07;0,00;0,00;0,00;10.785,45;17,00;8.187,80;1.903,06;2.641,59;189,80;4.109,78;56.064,61;61.007,92;70.075,70;15.163,19;3.444,00;32.484,79;3.502,50;100,35;100,35;360,91;360,40;166,00;0,00;0,00;0,00;0,00;12.759,00;12.759,00;977.403.369,36;918.276.053,76;6.465.719.606,78;1,00;0,00;0,00;0,00;26.583,30;26.583,30
119;Meppel;3;4.385,03;2.928,00;2.928,00;672,32;368,04;6.581,11;0,00;0,00;2,00;3.325,51;36.666,41;1.487,83;0,00;0,00;0,00;6.875,84;6,00;3.018,58;988,51;2.615,99;105,09;2.822,84;34.117,93;40.021,60;44.156,18;11.893,17;1.870,00;22.731,46;903,14;49,17;49,17;202,19;201,90;156,00;0,00;17,00;0,00;0,00;5.547,00;5.547,00;614.347.230,32;598.483.804,18;4.690.492.345,74;1,00;0,00;0,00;0,00;17.299,44;17.299,44
1731;Midden-Drenthe;3;4.488,94;1.001,00;0,00;474,66;318,75;4.566,23;0,00;0,00;6,00;2.647,80;34.391,89;2.147,72;0,00;0,00;0,00;5.839,03;31,00;2.662,35;0,00;431,20;37,53;1.143,84;8.845,39;31.631,11;13.980,77;5.096,22;5.181,00;6.881,54;537,62;196,70;196,70;236,56;236,23;532,00;0,00;0,00;0,00;0,00;34.055,00;34.055,00;637.421.304,69;535.751.164,47;4.770.393.195,56;1,00;0,00;0,00;0,00;16.991,46;16.991,46
1699;Noordenveld;3;4.120,05;0,00;0,00;438,02;247,55;4.634,14;0,00;2,50;3,00;2.565,64;32.097,14;2.868,74;0,00;0,00;0,00;5.559,77;19,00;2.054,32;512,07;534,40;84,71;1.257,54;12.393,65;29.407,13;14.688,40;7.397,59;4.685,00;10.963,50;548,61;99,35;99,35;203,20;202,91;626,00;0,00;0,00;0,00;0,00;19.903,00;19.903,00;648.597.809,47;610.381.373,78;5.200.250.840,11;1,00;0,00;0,00;0,00;15.707,03;15.707,03
1730;Tynaarlo;3;4.925,36;0,00;0,00;467,60;202,64;4.486,50;0,00;0,00;5,00;1.798,64;35.392,68;2.422,00;0,00;0,00;0,00;7.155,10;21,00;984,66;108,63;0,00;50,40;1.588,83;9.290,19;30.650,54;11.039,05;8.222,96;3.467,00;8.286,96;0,00;75,27;75,27;221,40;221,08;587,00;0,00;0,00;0,00;0,00;14.183,00;14.183,00;452.107.644,84;403.796.301,62;5.839.011.265,19;1,00;0,00;0,00;0,00;16.409,83;16.409,83
1701;Westerveld;3;3.075,75;0,00;0,00;253,13;144,59;2.825,96;0,00;14,50;5,00;1.572,24;20.200,85;1.885,70;0,00;0,00;0,00;3.065,74;28,00;1.914,56;0,00;218,40;35,39;615,54;1.233,30;17.953,61;3.265,21;2.771,92;3.922,00;2.287,18;191,72;115,41;115,41;124,35;124,17;432,00;0,00;0,00;0,00;0,00;27.842,00;27.842,00;321.955.444,06;267.154.517,41;3.458.501.588,77;1,00;0,00;0,00;0,00;10.540,02;10.540,02
141;Almelo;4;8.557,03;7.097,00;7.097,00;2.341,01;1.109,59;12.676,96;0,00;0,00;2,00;8.550,76;75.591,18;2.983,88;0,00;0,00;0,00;13.827,84;3,00;9.654,68;4.257,43;3.963,18;320,62;12.588,11;103.728,62;84.167,67;114.484,61;22.828,17;2.119,00;57.685,57;6.898,43;168,60;168,60;437,74;437,12;232,00;0,00;10,00;0,00;0,00;6.709,00;6.709,00;1.870.081.621,86;1.809.151.644,20;9.073.879.749,17;1,00;0,00;0,00;0,00;35.324,91;35.324,91
147;Borne;4;2.862,74;1.224,00;0,00;272,96;184,02;2.958,84;0,00;0,00;1,00;1.760,75;25.010,72;1.321,36;0,00;0,00;0,00;5.171,86;3,00;1.303,80;0,00;232,80;56,83;1.459,45;14.476,11;23.382,16;16.356,39;4.010,01;424,00;13.504,29;182,79;21,07;21,07;130,41;130,23;19,00;0,00;0,00;0,00;0,00;2.597,00;2.597,00;288.786.462,14;271.120.373,94;3.724.093.799,06;1,00;0,00;0,00;0,00;10.675,33;10.675,33
148;Dalfsen;4;3.979,77;0,00;0,00;218,84;191,69;3.473,64;0,00;81,20;3,00;1.935,05;30.374,56;1.487,25;0,00;0,00;0,00;6.108,13;11,00;2.396,30;0,00;230,40;67,56;1.162,46;8.815,06;28.426,55;14.203,17;4.222,31;2.340,00;6.815,56;189,46;171,61;171,61;177,93;177,67;152,00;0,00;0,00;0,00;0,00;16.500,00;16.500,00;509.432.298,38;444.175.931,78;5.001.614.649,22;1,00;0,00;0,00;0,00;13.132,10;13.132,10
150;Deventer;4;13.591,50;8.739,00;8.234,00;2.659,69;1.187,36;19.405,72;0,00;0,00;2,00;10.046,32;105.438,05;3.198,17;0,00;0,00;0,00;19.529,78;9,00;7.387,99;2.047,12;3.899,18;332,42;14.580,77;140.080,64;114.191,45;152.363,10;22.569,82;2.907,00;93.259,33;5.840,14;121,43;121,43;491,32;490,62;386,00;0,00;35,00;0,00;0,00;13.048,00;13.048,00;1.873.686.945,98;1.804.464.722,85;15.436.487.086,07;1,00;0,00;0,00;0,00;49.135,58;49.135,58
1774;Dinkelland;4;3.787,54;0,00;0,00;193,29;144,59;2.951,95;0,00;0,00;5,00;1.561,62;27.019,38;1.458,48;0,00;0,00;0,00;4.811,36;13,00;1.724,73;0,00;210,40;62,19;728,25;6.237,26;22.866,60;9.178,99;2.976,16;1.969,00;5.529,36;184,57;163,58;163,58;169,84;169,60;112,00;0,00;6,00;0,00;0,00;17.571,00;17.571,00;554.859.382,31;477.705.446,11;4.053.517.414,51;1,00;0,00;0,00;0,00;11.739,63;11.739,63
153;Enschede;4;18.688,31;15.963,00;11.523,00;5.776,56;2.283,81;38.621,47;0,00;0,00;2,00;17.926,10;164.086,53;4.878,39;0,00;0,00;0,00;27.839,48;8,00;15.965,21;5.779,59;5.969,57;628,38;31.785,40;240.170,02;170.670,53;245.072,89;23.621,95;2.077,00;183.970,04;12.050,27;137,49;137,49;806,73;805,59;202,00;0,00;9,00;0,00;0,00;14.070,00;14.070,00;2.950.597.261,09;2.827.655.708,55;20.697.444.717,11;1,00;0,00;0,00;0,00;82.056,22;82.056,22
158;Haaksbergen;4;3.080,95;0,00;0,00;255,14;181,83;3.144,88;0,00;0,00;1,00;2.093,49;24.489,09;1.744,72;0,00;0,00;0,00;4.360,49;6,00;1.988,54;0,00;883,20;61,12;1.635,88;16.002,57;23.907,82;18.954,41;3.853,40;1.678,00;11.753,90;605,92;96,34;96,34;167,82;167,58;63,00;0,00;0,00;0,00;0,00;10.486,00;10.486,00;465.086.811,68;407.401.625,74;3.582.593.411,39;1,00;0,00;0,00;0,00;11.215,55;11.215,55
160;Hardenberg;4;7.611,45;1.013,00;0,00;793,67;594,78;7.573,30;0,00;0,00;8,00;5.065,21;64.106,33;2.146,02;0,00;0,00;0,00;12.877,34;27,00;7.103,60;1.121,18;3.082,39;254,14;2.865,97;33.582,15;63.332,99;46.349,84;10.583,50;5.293,00;16.605,32;2.325,90;308,09;308,09;385,17;384,62;525,00;0,00;0,00;0,00;0,00;31.190,00;31.190,00;1.376.512.749,62;1.255.013.326,72;8.204.344.243,89;1,00;0,00;0,00;0,00;28.240,34;28.240,34
163;Hellendoorn;4;4.073,29;1.341,00;0,00;387,26;340,65;4.371,33;0,00;0,00;2,00;3.002,28;36.607,78;1.924,12;0,00;0,00;0,00;6.888,02;10,00;3.551,26;1.079,48;1.102,39;128,68;1.366,33;31.449,15;36.817,04;36.301,48;4.444,56;1.706,00;13.333,66;406,08;115,41;115,41;220,39;220,07;108,00;0,00;0,00;0,00;0,00;13.792,00;13.792,00;554.498.849,90;504.745.377,02;5.385.495.827,12;1,00;0,00;0,00;0,00;16.181,62;16.181,62
164;Hengelo;4;10.682,01;6.759,00;0,00;2.093,26;1.061,40;16.226,39;0,00;0,00;1,00;8.688,76;84.566,98;3.437,50;0,00;0,00;0,00;14.514,30;4,00;5.460,06;3.435,28;4.278,38;313,12;13.093,87;111.674,31;91.264,20;118.002,55;14.071,03;1.040,00;79.602,11;4.172,86;53,19;53,19;499,40;498,70;104,00;0,00;0,00;0,00;0,00;6.079,00;6.079,00;1.605.450.831,34;1.574.805.576,30;11.199.510.178,40;1,00;0,00;0,00;0,00;41.308,82;41.308,82
1735;Hof van Twente;4;5.211,11;1.469,00;1.469,00;394,65;236,60;4.814,27;0,00;0,00;5,00;2.793,58;36.048,75;2.804,15;0,00;0,00;0,00;6.232,02;10,00;3.283,16;0,00;427,20;87,93;1.710,37;10.826,76;32.106,24;14.728,84;4.678,30;2.826,00;10.027,53;561,63;229,81;229,81;222,41;222,09;342,00;0,00;17,00;0,00;0,00;21.199,00;21.199,00;742.336.236,63;624.442.137,86;4.985.098.831,11;1,00;0,00;0,00;0,00;16.574,42;16.574,42
166;Kampen;4;6.754,19;4.545,00;3.052,00;802,75;563,01;7.525,07;0,00;0,00;1,00;5.043,92;57.163,46;1.454,21;0,00;0,00;0,00;12.745,33;12,00;5.246,13;1.691,86;3.319,18;186,58;3.874,55;59.622,98;58.207,72;67.902,27;20.858,67;5.856,00;35.899,21;1.597,61;116,41;116,41;286,10;291,41;2.144,00;0,00;36,00;0,00;0,00;14.035,00;14.035,00;1.030.041.101,53;951.084.503,27;7.609.328.418,15;1,00;0,00;0,00;0,00;24.388,05;24.875,81
168;Losser;4;2.680,89;0,00;0,00;270,61;228,93;2.819,07;0,00;0,00;3,00;2.058,99;23.724,85;1.326,86;0,00;0,00;0,00;4.241,67;8,00;2.442,95;90,53;394,40;70,77;1.183,05;6.884,24;19.874,33;8.228,74;3.575,82;1.518,00;8.224,86;814,51;73,26;73,26;127,38;127,20;92,00;0,00;0,00;0,00;0,00;9.871,00;9.871,00;306.452.550,33;255.617.480,22;3.384.849.967,43;1,00;0,00;0,00;0,00;10.695,52;10.695,52
173;Oldenzaal;4;4.047,32;2.091,00;2.091,00;430,28;325,32;5.152,88;0,00;0,00;1,00;3.105,54;32.370,08;2.194,19;0,00;0,00;0,00;5.814,66;3,00;2.877,06;763,12;2.545,59;94,36;2.736,59;28.224,37;33.865,21;31.014,46;4.814,09;330,00;22.818,19;1.029,11;23,08;23,08;225,44;225,12;40,00;0,00;8,00;0,00;0,00;2.155,00;2.155,00;619.034.151,67;599.565.401,42;4.805.210.325,65;1,00;0,00;0,00;0,00;15.232,43;15.232,43
1773;Olst-Wijhe;4;2.467,88;526,00;0,00;200,35;162,11;2.369,24;0,00;0,00;2,00;1.378,09;19.210,16;920,97;0,00;0,00;0,00;3.429,29;9,00;1.395,34;0,00;302,40;50,40;820,39;3.325,87;17.165,11;5.529,63;4.702,19;2.929,00;4.197,62;235,56;94,33;94,33;90,98;90,86;473,00;0,00;0,00;0,00;0,00;11.364,00;11.364,00;236.148.729,96;193.605.905,33;3.004.539.777,24;1,00;0,00;0,00;0,00;8.584,08;8.584,08
175;Ommen;4;2.696,48;0,00;0,00;207,75;162,11;2.514,92;0,00;0,00;1,00;1.302,46;19.458,85;1.054,43;0,00;0,00;0,00;3.785,72;16,00;2.005,72;1.560,82;1.017,60;73,99;713,55;9.542,91;18.762,33;13.566,30;2.922,09;2.763,00;4.842,15;243,00;123,44;123,44;111,20;111,05;240,00;0,00;5,00;0,00;0,00;17.961,00;17.961,00;411.367.482,27;370.266.787,29;3.116.133.142,90;1,00;0,00;0,00;0,00;9.293,96;9.293,96
177;Raalte;4;4.795,47;532,00;0,00;398,68;236,60;4.998,34;0,00;0,00;4,00;2.996,00;39.044,06;2.186,84;0,00;0,00;0,00;7.250,55;14,00;3.423,41;863,21;1.729,59;46,11;1.706,45;18.014,27;36.928,24;23.675,32;5.017,02;2.238,00;11.605,08;683,74;188,67;188,67;217,35;217,04;138,00;0,00;0,00;0,00;0,00;17.091,00;17.091,00;700.514.476,82;621.557.878,56;6.070.232.718,86;1,00;0,00;0,00;0,00;17.346,90;17.346,90
1742;Rijssen-Holten;4;4.582,46;1.782,00;1.782,00;320,70;288,08;3.861,46;0,00;0,00;3,00;2.804,10;39.259,38;1.502,39;0,00;0,00;0,00;9.003,28;8,00;3.470,94;587,78;2.587,99;111,52;2.253,37;30.377,60;40.496,72;36.109,41;3.893,07;946,00;17.989,17;970,41;70,25;70,25;256,78;256,42;27,00;0,00;8,00;0,00;0,00;9.410,00;9.410,00;683.569.453,45;646.074.082,59;5.390.852.308,67;1,00;0,00;0,00;0,00;16.383,58;16.383,58
180;Staphorst;4;2.499,05;660,00;0,00;141,19;94,20;1.678,25;0,00;0,00;2,00;1.058,36;18.163,88;314,89;0,00;0,00;0,00;4.802,22;5,00;1.867,23;0,00;292,00;33,24;574,37;8.157,98;17.124,67;12.292,56;3.442,65;2.600,00;2.434,40;523,32;90,32;90,32;132,43;132,25;176,00;0,00;0,00;0,00;0,00;13.394,00;13.394,00;436.965.283,53;386.490.745,83;2.097.508.901,09;1,00;0,00;0,00;0,00;6.651,38;6.651,38
1708;Steenwijkerland;4;6.463,24;1.650,00;1.650,00;679,71;569,58;6.948,26;0,00;0,00;10,00;4.444,84;46.214,38;2.411,36;0,00;0,00;0,00;8.432,57;35,00;4.302,47;619,66;1.120,79;238,05;2.289,64;21.239,04;45.632,10;31.964,71;22.757,78;15.979,00;12.844,74;1.628,89;159,56;159,56;289,13;288,72;3.345,00;0,00;27,00;0,00;0,00;28.814,00;28.814,00;754.954.871,06;681.406.258,98;6.251.013.971,24;1,00;0,00;0,00;0,00;22.107,98;22.107,98
183;Tubbergen;4;3.106,93;0,00;0,00;125,72;112,82;2.227,50;0,00;0,00;4,00;1.309,24;21.741,46;821,58;0,00;0,00;0,00;4.102,55;11,00;1.873,18;0,00;548,00;45,04;445,97;2.355,40;17.003,37;3.689,79;1.620,50;1.111,00;2.779,35;0,00;173,61;173,61;126,37;126,19;42,00;0,00;0,00;0,00;0,00;14.703,00;14.703,00;494.289.937,07;403.796.301,62;3.126.399.732,54;1,00;0,00;0,00;0,00;9.172,78;9.172,78
1700;Twenterand;4;3.766,76;1.038,00;0,00;403,73;517,01;3.709,87;0,00;0,00;4,00;3.173,59;34.484,89;1.292,12;0,00;0,00;0,00;7.170,33;9,00;4.478,43;239,10;752,00;147,98;1.037,00;11.140,14;33.652,92;16.336,17;8.037,72;2.548,00;8.963,32;1.446,44;83,29;83,29;237,57;237,24;206,00;0,00;0,00;0,00;0,00;10.608,00;10.608,00;523.853.594,86;461.481.487,56;4.335.179.069,46;1,00;0,00;0,00;0,00;14.550,84;14.550,84
189;Wierden;4;3.392,68;0,00;0,00;192,62;161,02;2.757,06;0,00;188,30;2,00;1.531,85;25.618,27;1.324,40;0,00;0,00;0,00;5.233,80;10,00;1.635,53;0,00;535,20;48,25;963,49;10.088,80;23.048,56;12.737,36;4.333,03;1.631,00;8.129,03;4,44;94,33;94,33;156,70;156,47;85,00;0,00;0,00;0,00;0,00;9.454,00;9.454,00;376.035.305,88;341.424.194,31;3.834.348.044,34;1,00;0,00;0,00;0,00;11.385,20;11.385,20
1896;Zwartewaterland;4;2.930,28;1.380,00;1.380,00;176,48;164,30;2.473,58;0,00;0,00;3,00;1.778,45;23.763,27;593,36;0,00;0,00;0,00;5.678,58;4,00;3.190,74;0,00;369,60;64,34;783,14;5.155,60;21.956,78;9.280,08;8.298,65;3.039,09;6.948,62;870,79;73,26;73,99;168,83;171,96;581,00;0,00;23,00;0,00;0,00;8.287,05;8.205,00;593.075.818,00;593.075.818,00;2.694.310.220,68;1,00;0,00;0,00;0,00;9.428,26;9.616,82
193;Zwolle;4;18.485,69;9.313,00;9.313,00;3.636,91;1.371,38;26.808,73;0,00;0,00;1,00;11.506,42;135.268,75;2.772,14;0,00;0,00;0,00;26.969,21;3,00;6.489,22;7.858,14;7.644,76;317,40;16.287,21;216.039,80;146.509,98;249.551,19;62.090,44;5.539,00;134.399,39;4.336,83;136,48;136,48;594,43;593,59;892,00;0,00;0,00;0,00;41,00;11.045,00;11.045,00;3.275.076.432,03;3.217.030.713,68;20.681.821.645,92;1,00;0,00;0,00;0,00;63.666,22;63.666,22
197;Aalten;5;3.304,36;996,00;0,00;294,14;262,88;3.666,56;0,00;0,00;3,00;2.637,58;27.765,43;1.570,76;0,00;0,00;0,00;5.096,71;11,00;2.911,71;129,51;1.163,99;78,28;1.256,56;13.202,38;27.638,05;20.157,38;2.739,52;968,00;10.190,21;749,81;113,40;113,40;170,85;170,61;52,00;0,00;5,00;0,00;0,00;9.653,00;9.653,00;419.299.195,34;389.014.472,72;3.744.180.604,88;1,00;0,00;0,00;0,00;12.882,69;12.882,69
200;Apeldoorn;5;22.896,69;11.306,00;0,00;3.533,70;1.838,00;28.624,79;0,00;0,00;7,00;14.348,77;170.388,49;8.350,23;0,00;0,00;0,00;31.259,63;29,00;15.444,62;5.272,35;8.056,76;301,32;19.145,34;248.914,32;175.007,30;256.738,70;12.223,22;2.474,00;143.948,32;7.868,19;185,66;185,66;891,65;890,39;132,00;0,00;0,00;0,00;0,00;33.983,00;33.983,00;3.066.328.165,40;2.913.101.890,23;26.169.090.622,53;1,00;0,00;0,00;0,00;81.510,94;81.510,94
202;Arnhem;5;26.616,69;18.048,00;18.048,00;6.840,84;2.332,01;41.131,46;0,00;0,00;1,00;18.559,08;171.210,35;2.112,01;0,00;0,00;0,00;30.364,98;6,00;13.120,55;7.646,71;6.798,37;485,76;39.700,15;314.724,02;192.708,19;332.596,76;40.195,34;2.391,68;196.982,83;11.872,69;45,16;45,16;658,12;663,76;387,00;0,00;18,00;0,00;0,00;9.864,67;9.767,00;2.671.905.706,50;2.629.723.414,27;25.094.669.697,88;1,00;0,00;0,00;0,00;84.796,74;85.644,71
203;Barneveld;5;10.443,01;920,00;0,00;576,85;483,05;6.686,43;94,85;0,00;7,00;3.656,61;63.840,46;1.697,61;0,00;0,00;0,00;16.298,51;17,00;5.880,02;2.499,24;3.887,18;127,61;3.753,01;36.564,31;61.665,00;42.205,14;4.450,60;1.245,00;26.212,93;3.410,62;257,91;257,91;402,35;401,79;81,00;0,00;0,00;0,00;0,00;17.585,00;17.585,00;1.593.553.261,73;1.593.553.261,73;10.826.341.963,61;1,00;0,00;0,00;0,00;28.837,11;28.837,11
1945;Berg en Dal;5;4.624,02;1.067,00;0,00;725,77;299,03;5.857,64;0,00;0,00;5,00;3.316,68;35.945,64;2.548,17;0,00;0,00;0,00;5.810,60;12,00;3.937,26;1.824,57;660,00;51,47;1.902,48;6.752,82;28.911,79;8.683,65;7.166,49;1.880,00;11.652,04;1.052,61;48,17;48,17;193,09;192,82;742,00;0,00;0,00;0,00;0,00;8.586,00;8.586,00;440.570.607,66;402.354.171,97;5.709.116.587,56;1,00;0,00;0,00;0,00;17.313,58;17.313,58
1859;Berkelland;5;5.725,47;1.204,00;524,00;507,60;441,43;5.939,34;0,00;0,00;5,00;3.938,50;44.395,77;3.186,85;0,00;0,00;0,00;7.329,76;25,00;4.429,24;2.165,10;1.100,79;156,56;1.616,27;13.586,52;43.296,92;21.936,57;5.910,51;3.502,00;13.547,77;680,53;270,96;270,96;280,03;279,63;222,00;0,00;5,00;0,00;0,00;25.799,00;25.799,00;886.188.669,08;750.989.014,52;6.629.538.667,58;1,00;0,00;0,00;0,00;21.004,30;21.004,30
209;Beuningen;5;3.543,35;0,00;0,00;387,93;190,59;3.445,09;0,00;0,00;3,00;1.929,46;27.040,61;944,97;0,00;0,00;0,00;4.955,56;5,00;2.103,31;166,83;0,00;35,39;1.785,84;9.654,11;23.361,94;11.210,90;8.770,54;1.544,00;12.149,06;619,76;35,12;35,12;148,61;148,40;449,00;0,00;0,00;0,00;0,00;4.260,00;4.260,00;293.112.851,08;279.412.619,42;4.300.808.312,83;1,00;0,00;0,00;0,00;11.957,74;11.957,74
1876;Bronckhorst;5;5.761,84;0,00;0,00;283,05;313,27;4.587,88;0,00;0,00;6,00;2.709,47;36.404,59;2.820,55;0,00;0,00;0,00;5.618,67;25,00;3.580,64;0,00;276,80;77,21;991,92;4.923,09;30.124,87;8.168,09;4.485,94;3.568,00;6.654,98;197,32;259,92;259,92;196,12;195,85;298,00;0,00;0,00;0,00;0,00;28.345,00;28.345,00;643.189.823,29;530.703.710,70;6.396.978.093,53;1,00;0,00;0,00;0,00;17.240,87;17.240,87
213;Brummen;5;2.841,95;509,00;0,00;250,44;228,93;2.886,00;0,00;0,00;2,00;1.685,01;21.627,23;1.619,62;0,00;0,00;0,00;3.487,17;7,00;2.499,07;309,88;0,00;72,92;1.460,43;4.731,02;20.925,66;7.056,09;3.510,31;1.395,00;8.457,89;660,39;60,21;60,21;126,37;126,19;147,00;0,00;0,00;0,00;0,00;8.355,00;8.355,00;273.644.100,83;253.814.818,16;3.497.336.080,02;1,00;0,00;0,00;0,00;10.506,69;10.506,69
214;Buren;5;4.816,25;0,00;0,00;192,28;151,16;3.426,39;0,00;0,00;7,00;1.744,64;28.283,01;985,51;0,00;0,00;0,00;5.181,00;19,00;3.544,92;0,00;0,00;30,02;1.031,12;1.273,74;21.299,70;1.991,48;8.157,20;3.611,94;3.609,67;992,71;118,42;131,44;171,86;187,06;942,00;0,00;6,00;0,00;0,00;14.818,50;13.350,00;418.938.662,93;373.151.046,58;4.668.620.046,07;1,00;0,00;0,00;0,00;11.873,93;12.942,58
216;Culemborg;5;4.359,05;1.899,00;1.899,00;451,46;201,55;4.539,65;0,00;0,00;1,00;2.176,15;30.611,11;1.048,32;0,00;0,00;0,00;6.146,72;1,00;2.158,75;487,57;3.178,39;65,41;4.619,46;18.539,94;32.995,83;20.976,21;26.493,88;1.518,92;20.878,68;1.118,08;23,08;30,01;167,82;201,09;190,00;0,00;17,00;0,00;0,00;3.714,75;2.925,00;431.917.829,76;418.938.662,93;4.989.116.192,27;1,00;0,00;0,00;0,00;13.808,65;16.570,38
221;Doesburg;5;1.304,08;1.178,00;1.178,00;240,35;150,06;2.010,95;0,00;0,00;2,00;1.358,55;11.246,28;880,36;0,00;0,00;0,00;1.644,07;2,00;1.666,47;0,00;0,00;41,82;1.240,87;3.426,96;11.797,22;5.337,56;5.176,22;603,00;4.547,47;468,58;10,04;10,04;55,60;55,52;136,00;0,00;18,00;0,00;0,00;1.160,00;1.160,00;115.730.904,30;111.404.515,36;1.541.773.940,06;1,00;0,00;0,00;0,00;5.525,48;5.525,48
222;Doetinchem;5;8.177,76;1.667,00;1.667,00;1.187,65;896,00;9.705,32;0,00;0,00;3,00;5.637,32;60.703,63;2.717,06;0,00;0,00;0,00;10.884,97;8,00;4.767,71;3.802,64;3.611,98;232,69;5.165,41;58.945,68;66.042,21;68.599,79;8.850,91;1.174,00;33.527,14;2.408,41;79,28;79,28;378,09;377,56;67,00;0,00;10,00;0,00;0,00;7.898,00;7.898,00;981.729.758,30;959.376.748,75;8.101.678.347,47;1,00;0,00;0,00;0,00;28.388,77;28.388,77
