;;;vest;bo31;bo31hk;bo3_nw;doelgroep;ephh;groei_jong;groei_llvo;kernen500;lidr_w_nw;inwo;inw75+dr;wad1;wad3;wad2;jong;kernen;LOdr;ll_so;ll_vo;loonksub;nwmigr;cf.landelijk;cf.lokaal;cf.regionaal;oeverdhbftot;oeverbftot;oadw;goab;opbebnk;opbebnkbfnk;opbebk;opbebkbfk;biwa;buiwamax;histk40;histk65;histk4164;landbftot;land;WOZnwe70;WOZnwg70;WOZwe80;vast;Amsterdam;Den Haag;Rotterdam;woonr;woonrbfk
CBS;Naam;Prov;bedrijven;bewoonde oorden 1930;historische woningen in bewoonde oorden 1930;bijstandsontvangers;doelgroepenregister gemeentelijke doelgroep;éénpersoonshuishoudens;extra groei jongeren;extra groei leerlingen voortgezet onderwijs;grote woonkernen;huishoudens met een laag inkomen met drempel;inwoners;inwoners 75+ met drempel;inwoners waddengemeenten (<2500 inwoners);inwoners waddengemeenten (>7500 inwoners);inwoners waddengemeenten (2500 tot 7500 inwoners);jongeren;kernen;laag opleidingsniveau met drempel;leerlingen (voortgezet) speciaal onderwijs;leerlingen voortgezet onderwijs;loonkostensubsidie;migratieachtergrond;landelijke centrumfunctie;lokale centrumfunctie;regionale centrumfunctie;(oeverlengte+2*veen/kleiveengebied)*bf.gemeente*dh.factor;oeverlengte*bodemfactor gemeente;omgevingsadressendichtheid;onderwijsachterstand;oppervlak bebouwing buitengebied;oppervlak bebouwing buitengebied ∗ bodemfactor buitengebied;oppervlak bebouwing woonkern;oppervlak bebouwing woonkern ∗ bodemfactor woonkern;oppervlak binnenwater;oppervlak buitenwater;oppervlak historische kern < 40 ha;oppervlak historische kern > 65 ha;oppervlak historische kern 40 tot 65 ha;oppervlak land * bodemfactor gemeente;oppervlak land;ozb niet-woningen eigenaren;ozb niet-woningen gebruikers;ozb woningen eigenaren;vast bedrag;vast bedrag Amsterdam;verkiezingen Den Haag;vast bedrag Rotterdam;woonruimten;woonruimten ∗ bodemfactor woonkern
47;Veendam;1;2.758,83;3.654,00;0,00;758,37;414,04;4.545,55;0,00;0,00;1,00;3.487,04;27.988,83;1.625,22;0,00;0,00;0,00;4.883,46;5,00;3.680,68;951,26;1.459,99;129,75;2.463,13;26.778,79;30.893,15;30.448,36;11.630,09;3.305,00;13.634,63;1.935,73;60,21;60,21;192,08;191,81;273,00;0,00;0,00;0,00;0,00;7.595,00;7.595,00;380.361.694,83;365.579.865,93;2.763.051.733,93;1,00;0,00;0,00;0,00;13.341,13;13.341,13
1969;Westerkwartier;1;8.510,27;0,00;0,00;798,04;510,43;8.210,15;0,00;0,00;11,00;5.368,49;65.547,88;3.104,81;0,00;0,00;0,00;13.229,72;40,00;4.670,89;0,00;1.470,39;167,28;2.516,05;19.176,80;59.916,14;23.179,98;15.601,50;8.493,12;14.154,56;695,65;273,97;298,63;401,34;420,81;645,00;0,00;0,00;0,00;0,00;39.141,36;36.242,00;991.103.601,02;908.181.146,22;8.094.982.745,53;1,00;0,00;0,00;0,00;28.828,02;30.269,43
1950;Westerwolde;1;3.205,64;0,00;0,00;425,24;270,55;3.775,82;114,24;0,00;6,00;2.849,67;27.719,93;1.829,65;0,00;0,00;0,00;5.258,17;30,00;3.862,79;0,00;835,20;80,42;3.350,17;7.126,86;26.162,14;11.281,66;6.063,59;6.150,00;3.630,68;1.294,37;150,53;150,53;181,97;181,71;506,00;0,00;0,00;0,00;0,00;27.559,00;27.559,00;442.012.737,30;378.919.565,18;3.001.861.536,46;1,00;0,00;0,00;0,00;12.650,44;12.650,44
59;Achtkarspelen;2;3.579,72;0,00;0,00;552,65;322,03;3.855,55;0,00;0,00;5,00;3.156,74;28.507,43;1.190,69;0,00;0,00;0,00;5.680,61;13,00;3.913,64;0,00;1.084,00;97,58;742,96;7.521,11;28.416,45;10.978,39;6.961,86;2.465,00;5.608,78;1.299,37;78,28;78,28;202,19;201,90;188,00;0,00;0,00;0,00;0,00;10.210,00;10.210,00;362.695.606,63;329.526.624,71;3.188.892.017,32;1,00;0,00;0,00;0,00;12.603,99;12.603,99
60;Ameland;2;748,16;0,00;0,00;4,03;36,15;748,08;0,00;0,00;4,00;322,37;3.841,43;265,40;2.527,25;0,00;1.314,17;665,14;4,00;497,74;0,00;108,80;15,01;81,35;70,76;3.841,43;667,20;664,65;1.047,00;1.059,57;0,00;9,03;9,03;49,54;49,47;78,00;10.000,00;0,00;0,00;0,00;5.908,00;5.908,00;95.901.621,63;95.901.621,63;1.498.922.087,65;1,00;0,00;0,00;0,00;3.909,84;3.909,84
1891;Dantumadiel;2;2.208,10;573,00;0,00;400,37;207,02;2.498,19;0,00;0,00;3,00;2.252,68;19.345,63;1.117,14;0,00;0,00;0,00;3.873,05;9,00;2.631,51;954,02;0,00;82,57;603,77;3.730,23;19.004,95;6.267,59;5.676,38;2.596,00;3.958,26;682,33;48,17;48,17;118,28;118,11;302,00;0,00;0,00;0,00;0,00;8.450,00;8.450,00;200.095.488,75;166.565.974,42;2.312.214.536,63;1,00;0,00;0,00;0,00;8.512,39;8.512,39
1940;De Fryske Marren;2;8.240,11;1.818,00;0,00;667,61;381,18;7.365,61;0,00;0,00;12,00;4.545,70;52.804,45;3.405,69;0,00;0,00;0,00;9.733,41;46,00;5.013,07;0,00;974,40;131,89;2.344,53;16.528,24;49.948,65;32.591,47;17.942,55;14.362,00;14.136,45;1.440,68;210,74;210,74;363,94;363,42;6.722,00;10.000,00;5,00;0,00;0,00;35.095,00;35.095,00;903.133.692,45;803.987.279,11;8.064.182.976,61;1,00;0,00;0,00;0,00;26.033,98;26.033,98
72;Harlingen;2;2.124,97;2.541,00;2.541,00;442,72;152,25;3.109,44;0,00;0,00;1,00;2.091,40;16.386,72;1.287,14;0,00;0,00;0,00;2.817,97;2,00;2.048,56;0,00;816,80;39,68;973,29;10.826,76;17.731,22;17.559,36;9.504,51;1.478,40;9.044,05;736,58;26,09;28,44;104,13;118,54;170,00;10.000,00;0,00;0,00;45,00;2.743,40;2.494,00;342.866.323,96;327.363.430,24;1.840.397.786,59;1,00;0,00;0,00;0,00;8.251,87;9.407,13
74;Heerenveen;2;7.414,02;2.234,00;1.600,00;1.229,67;503,86;9.024,18;0,00;0,00;5,00;5.255,67;52.428,39;2.999,15;0,00;0,00;0,00;9.584,13;22,00;4.053,89;1.048,37;2.590,39;149,05;4.099,00;44.115,75;55.084,03;56.853,11;25.084,87;9.479,00;28.173,74;1.840,35;157,56;157,56;330,58;330,11;836,00;0,00;9,00;0,00;0,00;18.981,00;18.981,00;1.066.454.875,16;1.029.680.569,12;7.127.691.451,92;1,00;0,00;0,00;0,00;25.065,61;25.065,61
80;Leeuwarden;2;16.838,71;15.191,00;12.319,00;5.312,99;1.319,90;32.523,65;0,00;0,00;5,00;14.008,24;131.389,92;4.197,47;0,00;0,00;0,00;22.861,58;25,00;7.868,95;3.887,79;5.660,77;313,12;15.442,32;170.549,22;141.789,07;224.025,92;79.397,63;13.503,50;154.700,04;5.800,74;124,44;140,62;717,77;831,43;1.779,00;0,00;0,00;0,00;44,00;26.810,38;23.726,00;2.321.828.734,29;2.246.477.460,15;15.484.695.420,04;1,00;0,00;0,00;0,00;68.847,37;79.862,95
1970;Noardeast-Fryslân;2;5.813,80;1.908,00;1.331,00;867,29;473,19;6.996,49;0,00;0,00;9,00;5.228,79;46.363,99;2.261,75;0,00;0,00;0,00;9.068,27;37,00;5.888,61;729,25;2.071,99;185,51;1.536,88;13.313,57;44.712,18;18.934,19;14.884,79;10.580,63;10.462,18;1.237,41;198,70;218,57;303,28;321,02;1.810,00;10.000,00;22,00;0,00;0,00;40.752,92;37.388,00;752.070.611,76;651.121.536,36;5.388.174.067,90;1,00;0,00;0,00;0,00;21.933,29;23.249,29
85;Ooststellingwerf;2;3.345,92;0,00;0,00;525,42;274,93;3.958,90;0,00;0,00;5,00;2.755,69;26.207,63;1.722,00;0,00;0,00;0,00;4.504,68;19,00;3.062,11;205,65;1.000,80;61,12;1.050,72;7.056,09;25.798,21;11.160,35;5.590,41;4.876,00;6.087,47;879,55;145,51;145,51;168,83;168,59;286,00;0,00;0,00;0,00;0,00;22.326,00;22.326,00;324.479.170,94;272.562.503,59;3.204.961.461,97;1,00;0,00;0,00;0,00;12.551,48;12.551,48
